Disqus,Personal Details,180000000,2017
Yahoo,Personal Details,32000000,2017
Uber,email,124000000,2017
Snapchat,email,225000000,2017
Spambot,Personal Details,300000000,2017
CEX,Credit Card,183000000,2017
Altype,Personal Details,31000000,2017
Cellebrite,SSN,99000000,2017
Waterly,Credit Card,137000000,2017
Interact,Full Details,183000000,2017
Chis,SSN,60000000,2017
Vovoma,SSN,34000000,2017
Bell,email,65000000,2017
Zomato,Personal Details,17000000,2017
Syscake,Personal Details,46200000,2017
Instagram,email,60000000,2017
Viacom,Personal Details,110000000,2017
Equifax,Personal Details,14300000,2017
Konversation,Full Details,1100,2016
LinkedIn,email,117000000,2016
Tumblr,email,65000000,2016
Yahoo,SSN,500000000,2016
Cashnamic,Full Details,11500000,2016
Vorexo,Full Details,55000000,2016
Provados,email,274477,2016
Minecraft,email,7000000,2016
Elevate,SSN,49611709,2016
Bronq,Credit Card,3700000,2016
Mail ru,SSN,25000000,2016
PayAsUGym,email,300000,2016
Lyndacom,email,9500000,2016
Linux ,email,2000000,2016
Wendy's,Credit Card,1025,2016
campaign,SSN,5000000,2016
uTorrent ,email,35000,2016
Ubuntu,Credit Card,2200000,2016
Blazingg,Full Details,112000,2016
VK,Personal Details,171000000,2016
Nival,Personal Details,1500000,2016
Fling,Personal Details,40000000,2016
MySpace,email,164000000,2016
Three,SSN,130000,2016
Keashy,Personal Details,550000,2016
Telegram ,email,15000000,2016
Dailymotion,email,85200000,2016
Weebly,Personal Details,43000000,2016
Interpark,SSN,10000000,2016
Truvola,Personal Details,34000,2016
Drift,email,412000000,2016
Brazzers,Personal Details,790724,2016
ClixSense,Full Details,6600000,2016
Carefirst,email,1100000,2015
Twitch,email,10000000,2015
Premera,Full Details,11000000,2015
Uber,email,50000,2015
Stretchyy,SSN,198000000,2015
Kromtech,email,13000000,2015
Invest Bank,Personal Details,40000,2015
Sanrio,SSN,3300000,2015
VTech,Full Details,6400000,2015
Elvoir,Full Details,500000,2015
Delrox,email,37000000,2015
Evvoly,Full Details,21500000,2015
Voxoti,SSN,4000000,2015
Convey,Personal Details,30,2015
IRS,email,100000,2015
MSpy,SSN,400000,2015
Martzie,email,3900000,2015
Jeddies,Full Details,70000000,2015
TalkTalk,SSN,157000,2015
Experian ,Credit Card,15000000,2015
Slack,email,500000,2015
Aragoza,Credit Card,2400000,2015
Arrivana,email,10000,2015
Anthem ,SSN,80000000,2015
Neenox,Personal Details,4500000,2015
Prozino,SSN,1100000,2014
AOL,email,2400000,2014
Fantella,SSN,4500000,2014
Mortagee,SSN,5190396,2014
Jeezl,SSN,10000000,2014
Wedowa,SSN,146000,2014
Ebay,email,145000000,2014
UPS,Credit Card,4000000,2014
Qotty,email,4000000,2014
Finphilia,Credit Card,76000000,2014
Catalyst,email,52000,2014
Resolve,Personal Details,2700000,2014
Dansors,SSN,750000,2014
Staples,Credit Card,1160000,2014
GMail,email,5000000,2014
Pllex,Credit Card,56000000,2014
Cupiro,Full Details,20000000,2014
Dominios,email,600000,2014
Mozilla,SSN,76000,2014
Drizzlr,Full Details,160000000,2013
Simiyo,Personal Details,344579,2013
Citigroup,SSN,150000,2013
Tianya,email,40000000,2013
Scribd,email,50000000,2013
Spoonist,email,50000000,2013
Yahoo,SSN,550000000,2013
SnapChat,SSN,4600000,2013
Zasvo,SSN,74000,2013
Demarx,Credit Card,110000,2013
Twitter,email,250000,2013
Walgreens,Personal Details,100000,2013
Suffies,SSN,100000,2013
Kaddir,SSN,4000000,2013
OVH,SSN,200000,2013
Apple,email,275000,2013
NASDAQ,email,500000,2013
UbiSoft,SSN,58000000,2013
Ubuntu,Credit Card,2000000,2013
Nintendo,SSN,4000000,2013
Crust,Full Details,1500000,2013
Facebook,email,6000000,2013
Evernote,email,50000000,2013
Megzu,SSN,125000,2013
Kremet,email,22000000,2013
Drupal,email,1000000,2013
Vorenza,SSN,170000,2013
Opody,SSN,160000,2013
Evorry,email,860000,2013
Rosatino,SSN,200000000,2013
Vodafone,Credit Card,2000000,2013
Adobe,Credit Card,38000000,2013
Rakkz,Credit Card,1000000,2013
ssndobms,SSN,4000000,2013
Target,Credit Card,70000000,2013
Treepa,email,6000000,2012
Wazzl,Credit Card,1500000,2012
Nerrve,Personal Details,228000,2012
Tubare,Full Details,3000000,2012
Fondors,SSN,800000,2012
Evopu,Personal Details,315000,2012
Nulano,SSN,6500000,2012
Medicaid,Full Details,780000,2012
Blizzard,SSN,14000000,2012
Fullmoo,SSN,1800000,2012
Nucoza ,SSN,102153,2012
Zappos,SSN,24000000,2012
Tiger,email,420000,2012
KT Corp,SSN,8700000,2012
Oxobo,email,450000,2012
Lastfm,email,43500000,2012
Coyyote,email,8000000,2012
Gamigo,email,8000000,2012
Knaro,email,163792,2012
"""Apple""",SSN,12367232,2012
Kalvac,SSN,9000000,2012
Fuunction,email,3600000,2012
Dropbox,email,68700000,2012
Villery,Personal Details,1700000,2011
Cultivate,SSN,231400,2011
Grippel,Full Details,800000,2011
Betfair,Credit Card,2300000,2011
Thermaal,Personal Details,156000,2011
Suseta,SSN,43000,2011
Dinzio,Credit Card,34000,2011
Startnamic,SSN,3500000,2011
Epsilon,email,3000000,2011
Sony PSN,email,77000000,2011
Bivla,Credit Card,123461,2011
Varillo,SSN,73000,2011
Stratfor,Credit Card,935000,2011
Setbi,email,10000000,2011
Sovoca,SSN,300000,2011
Ozeet,email,62000,2011
Dexilo,email,200000,2011
Sega,SSN,1290755,2011
Citigroup,Credit Card,210000,2011
Adcrab,email,1000000,2011
Sioria,SSN,175350,2011
Anario,SSN,1270000,2011
Nooph,Credit Card,1900000,2011
Cabacu,Personal Details,514330,2011
Loxro,Personal Details,400000,2011
NHS,Personal Details,8600000,2011
Elephant,email,180000,2011
Frasmic,Credit Card,24600000,2011
Bestova,SSN,283000,2011
Yedlo,Full Details,210000,2011
Graggles,SSN,1000000,2011
Steam,Credit Card,35000000,2011
Coyoro,Credit Card,200000,2011
Promoko,SSN,13200000,2011
Dromoto,Personal Details,1600000,2011
Tornaddo,SSN,4243434,2011
Tricare,Personal Details,4901432,2011
Apprena,SSN,1220000,2010
Xobelle,SSN,1023209,2010
Daytee,Full Details,260000,2010
Gawkercom,SSN,1500000,2010
Exoqo,Personal Details,398000,2010
Benchee,SSN,760000,2010
Queeker,Personal Details,180111,2010
Herbvi,SSN,105470,2010
AT&T,email,114000,2010
Trajectoryy,Personal Details,130495,2010
Irxoo,SSN,3300000,2010
US RBC,Credit Card,400000,2010
Zeetly,SSN,392000,2010
Heartland,Credit Card,130000000,2009
Nuvabit,SSN,131000,2009
RockYou,email,32000000,2009
Zelics,email,5000000,2009
Hadux,Credit Card,573000,2009
Spotella,SSN,531400,2009
UCB,Credit Card,160000,2009
Health Net ,Personal Details,1500000,2009
Guestably,SSN,76000000,2009
Compass Bank,Credit Card,1000000,2008
Ocoko,Credit Card,4200000,2008
Volcaano,Credit Card,2100000,2008
Estroga,email,4500000,2008
Denqa,SSN,2500000,2008
Tyato,SSN,84000,2008
Alzuro,Full Details,1500000,2008
Riddin,Credit Card,18000000,2008
Hyena,SSN,11100000,2008
Mondzo,email,113000,2008
Flow,SSN,72000,2008
Tiimely,Personal Details,2200000,2008
Zuperbe,email,6000000,2008
Jitani,SSN,89000,2008
Starbucks,SSN,97000,2008
Kooted,Full Details,1700000,2008
Fizzaz,email,17000000,2008
Ezete,SSN,3950000,2008
 Freighterr,SSN,50500,2008
Monstercom,SSN,1600000,2007
Tremendist,SSN,3000000,2007
Sculptar,Credit Card,8500000,2007
Rentayo,SSN,160000,2007
Gap Inc,SSN,800000,2007
Leanables,email,8637405,2007
Tynro,Credit Card,94000000,2007
Jewelix,Credit Card,2600000,2007
Joodies,email,25000000,2007
Dabiki,email,6300000,2007
AOL,email,20000000,2006
Duncey,SSN,26500000,2006
Eraserr,SSN,125000,2006
KDDI,email,4000000,2006
Fivini,SSN,200000,2006
Synzu,SSN,200000,2005
Citigroup,Credit Card,3900000,2005
Peckam,Credit Card,40000000,2005
AOL,email,92000000,2004
